512000;roundtrip;local;fileref;0,0774;0,073;0,08;0,0805;local;datacall;0,0812;0,0785;0,082;0,0835;remote;fileref;0,1094;0,099;0,104;0,1225;remote;datacall;0,0866;0,0785;0,084;0,096;processing;local;fileref;0,033;0,031;0,033;0,035;local;datacall;0,0336;0,0325;0,033;0,035;remote;fileref;0,0306;0,03;0,03;0,0315;remote;datacall;0,0308;0,029;0,031;0,0325;call_f1_f2;local;fileref;0,0174;0,0145;0,017;0,0205;local;datacall;0,0208;0,019;0,021;0,0225;remote;fileref;0,0172;0,0165;0,017;0,018;remote;datacall;0,0278;0,022;0,024;0,0355;fetch_file;local;fileref;0,0;0,0;0,0;0,0;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;0,0322;0,0235;0,025;0,0445;remote;datacall;0,0;0,0;0,0;0,0
1048576;roundtrip;local;fileref;0,1058;0,104;0,105;0,108;local;datacall;0,1268;0,11;0,116;0,149;remote;fileref;0,136;0,1335;0,136;0,1385;remote;datacall;0,129;0,118;0,12;0,1445;processing;local;fileref;0,0592;0,0575;0,059;0,061;local;datacall;0,0588;0,057;0,059;0,0605;remote;fileref;0,057;0,056;0,057;0,058;remote;datacall;0,0582;0,0565;0,059;0,0595;call_f1_f2;local;fileref;0,018;0,015;0,018;0,021;local;datacall;0,0406;0,0255;0,028;0,062;remote;fileref;0,016;0,014;0,017;0,0175;remote;datacall;0,0412;0,03;0,031;0,0575;fetch_file;local;fileref;0,0006;0,0;0,001;0,001;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;0,0324;0,0305;0,032;0,0345;remote;datacall;0,0;0,0;0,0;0,0
2097152;roundtrip;local;fileref;0,1652;0,164;0,165;0,1665;local;datacall;0,1748;0,1715;0,176;0,1775;remote;fileref;0,2064;0,2025;0,206;0,2105;remote;datacall;0,1986;0,188;0,189;0,214;processing;local;fileref;0,1108;0,109;0,11;0,113;local;datacall;0,1094;0,1085;0,109;0,1105;remote;fileref;0,1058;0,1035;0,104;0,109;remote;datacall;0,1116;0,11;0,111;0,1135;call_f1_f2;local;fileref;0,0178;0,0165;0,018;0,019;local;datacall;0,0316;0,03;0,032;0,033;remote;fileref;0,017;0,0165;0,017;0,0175;remote;datacall;0,0556;0,0435;0,046;0,0725;fetch_file;local;fileref;0,0022;0,001;0,002;0,0035;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;0,0468;0,0445;0,048;0,0485;remote;datacall;0,0;0,0;0,0;0,0
4194304;roundtrip;local;fileref;0,249;0,2185;0,261;0,2735;local;datacall;0,288;0,2845;0,287;0,292;remote;fileref;0,3352;0,3305;0,334;0,3405;remote;datacall;0,31;0,2935;0,32;0,3215;processing;local;fileref;0,1902;0,159;0,207;0,213;local;datacall;0,2104;0,2065;0,21;0,2145;remote;fileref;0,208;0,2045;0,206;0,2125;remote;datacall;0,2016;0,186;0,211;0,2125;call_f1_f2;local;fileref;0,0164;0,014;0,016;0,019;local;datacall;0,0388;0,035;0,039;0,0425;remote;fileref;0,0164;0,0155;0,017;0,017;remote;datacall;0,0688;0,0675;0,069;0,07;fetch_file;local;fileref;0,0036;0,003;0,004;0,004;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;0,0674;0,065;0,067;0,07;remote;datacall;0,0;0,0;0,0;0,0
8388608;roundtrip;local;fileref;0,4386;0,429;0,432;0,4515;local;datacall;0,464;0,439;0,477;0,4825;remote;fileref;0,5624;0,523;0,575;0,5955;remote;datacall;0,5292;0,5155;0,523;0,546;processing;local;fileref;0,3662;0,3585;0,361;0,3765;local;datacall;0,3672;0,341;0,378;0,388;remote;fileref;0,3746;0,338;0,389;0,404;remote;datacall;0,3698;0,3535;0,366;0,388;call_f1_f2;local;fileref;0,016;0,013;0,017;0,0185;local;datacall;0,0514;0,05;0,051;0,053;remote;fileref;0,0174;0,017;0,017;0,018;remote;datacall;0,1168;0,1135;0,114;0,1215;fetch_file;local;fileref;0,006;0,005;0,006;0,007;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;0,1184;0,113;0,118;0,124;remote;datacall;0,0;0,0;0,0;0,0
16777216;roundtrip;local;fileref;0,762;0,7305;0,778;0,7855;local;datacall;0,8154;0,789;0,823;0,838;remote;fileref;1,2218;0,9835;0,992;1,575;remote;datacall;0,9564;0,913;0,949;1,0035;processing;local;fileref;0,6564;0,6305;0,671;0,675;local;datacall;0,6618;0,634;0,667;0,687;remote;fileref;0,9076;0,6765;0,692;1,2465;remote;datacall;0,6646;0,6255;0,663;0,7045;call_f1_f2;local;fileref;0,0146;0,0125;0,015;0,0165;local;datacall;0,0962;0,0935;0,096;0,099;remote;fileref;0,0178;0,0175;0,018;0,018;remote;datacall;0,2328;0,227;0,228;0,241;fetch_file;local;fileref;0,016;0,0135;0,015;0,019;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;0,2182;0,2065;0,22;0,229;remote;datacall;0,0;0,0;0,0;0,0
33554432;roundtrip;local;fileref;2,1506;1,7555;1,773;2,7345;local;datacall;2,351;1,8115;1,861;3,1355;remote;fileref;2,2342;2,202;2,223;2,272;remote;datacall;2,1814;2,1325;2,196;2,223;processing;local;fileref;1,958;1,565;1,582;2,539;local;datacall;2,0632;1,533;1,545;2,8525;remote;fileref;1,6336;1,6025;1,625;1,669;remote;datacall;1,5748;1,5375;1,593;1,603;call_f1_f2;local;fileref;0,0174;0,015;0,017;0,02;local;datacall;0,1732;0,1675;0,169;0,181;remote;fileref;0,0174;0,017;0,017;0,018;remote;datacall;0,4826;0,4625;0,48;0,504;fetch_file;local;fileref;0,0364;0,0265;0,034;0,0475;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;0,438;0,427;0,437;0,4495;remote;datacall;0,0;0,0;0,0;0,0
67108864;roundtrip;local;fileref;3,431;3,42;3,428;3,4435;local;datacall;3,6304;3,604;3,632;3,656;remote;fileref;4,3756;4,3255;4,375;4,426;remote;datacall;4,1606;4,1065;4,185;4,2025;processing;local;fileref;3,1068;3,086;3,104;3,129;local;datacall;3,1024;3,086;3,11;3,115;remote;fileref;3,172;3,148;3,177;3,1935;remote;datacall;3,0856;3,0695;3,087;3,101;call_f1_f2;local;fileref;0,0162;0,0155;0,016;0,017;local;datacall;0,3486;0,3385;0,351;0,3575;remote;fileref;0,018;0,0175;0,018;0,0185;remote;datacall;0,8806;0,868;0,871;0,898;fetch_file;local;fileref;0,0644;0,0605;0,065;0,068;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;0,8902;0,8775;0,887;0,9045;remote;datacall;0,0;0,0;0,0;0,0
134217728;roundtrip;local;fileref;6,6824;6,6645;6,679;6,702;local;datacall;6,9454;6,912;6,95;6,9765;remote;fileref;10,7712;8,453;8,636;14,157;remote;datacall;8,24;8,194;8,225;8,2935;processing;local;fileref;6,1524;6,1315;6,164;6,1675;local;datacall;6,048;6,014;6,068;6,072;remote;fileref;8,4544;6,2155;6,308;11,7665;remote;datacall;6,178;6,156;6,185;6,1965;call_f1_f2;local;fileref;0,0156;0,013;0,016;0,018;local;datacall;0,6128;0,594;0,602;0,637;remote;fileref;0,017;0,016;0,017;0,018;remote;datacall;1,7196;1,697;1,703;1,7505;fetch_file;local;fileref;0,1144;0,106;0,116;0,122;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;1,8214;1,7245;1,778;1,94;remote;datacall;0,0;0,0;0,0;0,0
268435456;roundtrip;local;fileref;15,0338;13,312;13,447;17,549;local;datacall;13,797;13,6525;13,701;13,9895;remote;fileref;16,5186;16,4185;16,473;16,6415;remote;datacall;16,385;16,239;16,439;16,504;processing;local;fileref;14,1192;12,4015;12,542;16,6255;local;datacall;12,1548;12,045;12,068;12,308;remote;fileref;12,2324;12,176;12,199;12,3055;remote;datacall;12,2488;12,0765;12,202;12,4445;call_f1_f2;local;fileref;0,0152;0,0135;0,015;0,017;local;datacall;1,1272;1,111;1,127;1,1435;remote;fileref;0,018;0,018;0,018;0,018;remote;datacall;3,5354;3,377;3,425;3,749;fetch_file;local;fileref;0,199;0,1875;0,205;0,2075;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;3,423;3,3935;3,412;3,458;remote;datacall;0,0;0,0;0,0;0,0
536870912;roundtrip;local;fileref;26,559;26,113;26,505;27,032;local;datacall;28,1576;27,722;28,005;28,6695;remote;fileref;42,1404;33,0455;33,36;55,6255;remote;datacall;31,8658;31,544;31,731;32,255;processing;local;fileref;24,8488;24,4325;24,798;25,2905;local;datacall;24,8326;24,4755;24,812;25,2;remote;fileref;33,5026;24,62;24,935;46,669;remote;datacall;24,245;23,9415;23,969;24,6865;call_f1_f2;local;fileref;0,0162;0,013;0,017;0,019;local;datacall;2,3962;2,2895;2,311;2,5455;remote;fileref;0,0186;0,018;0,019;0,019;remote;datacall;6,5222;6,4515;6,49;6,609;fetch_file;local;fileref;0,3816;0,363;0,378;0,402;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;6,9562;6,712;6,834;7,2615;remote;datacall;0,0;0,0;0,0;0,0